CONCISE NET LIST - 1  
CLK_INTR                 J8               21       TE0712 CONNECTOR-JB2-LSHM-150-B
CLK_INTR                 U6               12       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_LOL                  J8               23       TE0712 CONNECTOR-JB2-LSHM-150-B
CLK_LOL                  U6               47       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_N0                   C36              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_N0                   R27              2        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_N0                   U6               64       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_N1                   C28              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_N1                   R25              2        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_N1                   U6               2        SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_N2                   C4               2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_N2                   R32              2        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_N2                   U6               15       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_N3                   C33              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_N3                   R30              2        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_N3                   U6               62       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_P0                   C35              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_P0                   R27              1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_P0                   U6               63       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_P1                   C31              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_P1                   R25              1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_P1                   U6               1        SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_P2                   C3               2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_P2                   R32              1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_P2                   U6               14       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_P3                   C34              2        CAP_NP_0-445-7348-2-ND,CAP_NP_A
CLK_P3                   R30              1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
CLK_P3                   U6               61       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_RST                  R123             1        R-ERJ-2RKF4991X,R-ERJ-2RKF4991A
CLK_RST                  U6               6        SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_SCL                  J1               88       TE0712 CONNECTOR-JB1-LSHM-150-B
CLK_SCL                  R119             2        R-ERJ-2RKF2201X,R-ERJ-2RKF2201A
CLK_SCL                  U6               16       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_SCL                  U18              6        24AA025E48T-I/SN-24AA025E48T-IB
CLK_SDA                  J1               86       TE0712 CONNECTOR-JB1-LSHM-150-B
CLK_SDA                  R120             2        R-ERJ-2RKF2201X,R-ERJ-2RKF2201A
CLK_SDA                  U6               18       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_SDA                  U18              5        24AA025E48T-I/SN-24AA025E48T-IB
CLK_SEL0                 J8               13       TE0712 CONNECTOR-JB2-LSHM-150-B
CLK_SEL0                 U6               3        SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_SEL1                 J8               15       TE0712 CONNECTOR-JB2-LSHM-150-B
CLK_SEL1                 U6               4        SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_TST_N                C167             1        CAPCERSMDCL2_0402-100NF,16V_GEN
CLK_TST_N                U6               41       SI5395A-A-GM-SI5395A-A-GM,SI53B
CLK_TST_P                C169             1        CAPCERSMDCL2_0402-100NF,16V_GEN
CLK_TST_P                U6               42       SI5395A-A-GM-SI5395A-A-GM,SI53B
DATA_FROM_UPSTREAM_N<0>  C43              1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_N<0>  J5               60       TE0712 CONNECTOR-JB3-LSHM-130-B
DATA_FROM_UPSTREAM_N<1>  C2               1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_N<1>  J1               24       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_FROM_UPSTREAM_N<2>  C40              1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_N<2>  J5               59       TE0712 CONNECTOR-JB3-LSHM-130-B
DATA_FROM_UPSTREAM_P<0>  C45              1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_P<0>  J5               58       TE0712 CONNECTOR-JB3-LSHM-130-B
DATA_FROM_UPSTREAM_P<1>  C1               1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_P<1>  J1               22       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_FROM_UPSTREAM_P<2>  C39              1        CAP_NP_0-445-7348-2-ND,CAP_NP_A
DATA_FROM_UPSTREAM_P<2>  J5               57       TE0712 CONNECTOR-JB3-LSHM-130-B
DATA_IN_N<0>             J1               20       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<0>             J9               6        LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<1>             J1               26       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<1>             J9               9        LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<2>             J1               34       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<2>             J9               14       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<3>             J1               36       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<3>             J9               17       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<4>             J1               44       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<4>             J9               22       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<5>             J1               52       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<5>             J9               25       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<6>             J1               55       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<6>             J9               30       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<7>             J1               49       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<7>             J9               33       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<8>             J1               39       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<8>             J9               38       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<9>             J1               37       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<9>             J9               41       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<10>            J1               21       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<10>            J9               46       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_N<11>            J1               15       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_N<11>            J9               49       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<0>             J1               18       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<0>             J9               4        LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<1>             J1               28       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<1>             J9               7        LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<2>             J1               32       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<2>             J9               12       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<3>             J1               38       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<3>             J9               15       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<4>             J1               42       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<4>             J9               20       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<5>             J1               50       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<5>             J9               23       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<6>             J1               57       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<6>             J9               28       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<7>             J1               51       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<7>             J9               31       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<8>             J1               41       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<8>             J9               36       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<9>             J1               35       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<9>             J9               39       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<10>            J1               23       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<10>            J9               44       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_IN_P<11>            J1               17       TE0712 CONNECTOR-JB1-LSHM-150-B
DATA_IN_P<11>            J9               47       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<0>            J8               31       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<0>            J9               54       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<1>            J8               35       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<1>            J9               57       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<2>            J8               41       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<2>            J9               62       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<3>            J8               48       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<3>            J9               65       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<4>            J8               54       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<4>            J9               70       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<5>            J8               53       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<5>            J9               73       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<6>            J8               61       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<6>            J9               78       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<7>            J8               62       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<7>            J9               81       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<8>            J8               73       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<8>            J9               86       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<9>            J8               77       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<9>            J9               89       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<10>           J8               87       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<10>           J9               94       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_N<11>           J8               97       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_N<11>           J9               97       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<0>            J8               33       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<0>            J9               52       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<1>            J8               37       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<1>            J9               55       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<2>            J8               43       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<2>            J9               60       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<3>            J8               46       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<3>            J9               63       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<4>            J8               52       TE0712 CONNECTOR-JB2-LSHM-150-B
DATA_OUT_P<4>            J9               68       LSHM-150-0XXX-L-DV-A-S-LSHM-15B
DATA_OUT_P<5>            J8               51       TE0712 CONNECTOR-JB2-LSHM-150-B
